date,open,high,low,close,adj_open,adj_high,adj_low,adj_close,volume,buy_sell
2006/9/22,6872.26,6890.9,6854.02,6885.6,7855.89,7877.2,7835.04,7871.14,2581709,62799
2006/9/25,6879.68,6921.36,6844.33,6911.21,7864.37,7912.01,7823.96,7900.41,2842099,25897
2006/9/26,6945.04,6958.79,6899.37,6901.75,7939.09,7954.8,7886.88,7889.6,2728859,108959
2006/9/27,6957.08,6961.71,6922.99,6946.27,7952.85,7958.14,7913.88,7940.49,3407668,304188
2006/9/28,6955.6,6961.92,6858.03,6885.12,7951.18,7958.4,7839.64,7870.61,3326552,164197
2006/9/29,6887.39,6903.72,6860.52,6883.05,7873.21,7891.88,7842.5,7868.25,2700493,16342
2006/10/2,6907.43,6961.78,6907.43,6960.95,7896.19,7958.32,7896.19,7957.37,3483313,284652
2006/10/3,6942.07,6976.62,6935.8,6956.88,7935.79,7975.29,7928.62,7952.72,3166934,99808
2006/10/4,6967.77,6980.67,6874.98,6874.98,7965.55,7980.29,7859.47,7859.47,3218780,-112447
2006/10/5,6955.74,7004.42,6926.73,6997.24,7951.89,8007.54,7918.72,7999.33,4050944,361572
2006/10/11,6984.45,7022.49,6984.45,7006.67,7984.7,8028.19,7984.7,8010.1,3807217,182789
2006/10/12,7032.76,7039.93,6983.46,6984.58,8039.93,8048.13,7983.57,7984.85,3717423,135287
2006/10/13,7060.19,7096.51,7046.65,7068.8,8071.29,8112.81,8055.81,8081.13,4210376,236627
2006/10/14,7084.92,7099.43,7048.64,7076.85,8099.57,8116.15,8058.09,8090.34,3613069,145979
2006/10/16,7102.97,7159.85,7099.11,7151.42,8120.21,8185.24,8115.8,8175.6,4759123,317231
2006/10/17,7133.85,7133.85,7070.3,7075.13,8155.52,8155.52,8082.87,8088.39,3657283,87269
2006/10/18,7021.96,7035.45,6980.07,7017.6,8027.6,8043.03,7979.72,8022.62,3258148,-153704
2006/10/19,7000.68,7045.99,6986.85,6995.83,8003.29,8055.09,7987.48,7997.75,3096307,-75625
2006/10/20,7029.65,7048.09,7021.34,7039.37,8036.42,8057.5,8026.92,8047.53,3101892,4076
2006/10/23,7041.7,7043.48,7008.13,7040.26,8050.24,8052.27,8011.86,8048.59,3176373,-18964
2006/10/24,7075.81,7120.24,7070.17,7097.42,8089.23,8140.03,8082.79,8113.94,3721713,191210
2006/10/25,7099.94,7110.93,7059.89,7059.89,8116.83,8129.39,8071.04,8071.04,3406317,73301
2006/10/26,7083.15,7119.55,7080.84,7080.84,8097.7,8139.31,8095.06,8095.06,3514962,41877
2006/10/27,7112.54,7132.29,7082.68,7086.74,8131.31,8153.88,8097.17,8101.81,3374486,97129
2006/10/30,7050.05,7050.05,6995.1,6995.2,8059.86,8059.86,7997.04,7997.15,2832727,-228854
2006/10/31,7020.35,7025.21,7004.15,7021.32,8025.9,8031.46,8007.38,8027.01,2404816,53845
2006/11/1,7036.07,7058.69,7013.99,7013.99,8043.87,8069.73,8018.63,8018.63,3078231,7762
2006/11/2,7008.42,7089.7,7005.13,7078.1,8012.3,8105.22,8008.54,8091.96,3376920,77075
2006/11/3,7079.71,7186.98,7079.71,7161.61,8093.8,8216.43,8093.8,8187.43,4569732,269821
2006/11/6,7036.89,7160.66,7036.89,7120.44,8044.84,8186.34,8044.84,8140.36,3862546,129639
2006/11/7,7198.9,7219.06,7180.75,7184.65,8230.06,8253.11,8209.31,8213.77,4582111,161583
2006/11/8,7200.77,7207.33,7176.66,7178.34,8232.19,8239.69,8204.63,8206.55,4199401,84278
2006/11/9,7209.9,7242.45,7146.72,7151.13,8242.64,8279.85,8170.41,8175.45,5544062,79844
2006/11/10,7159.8,7176.06,7130.57,7174.2,8185.36,8203.95,8151.94,8201.82,3443015,32634
2006/11/13,7182.78,7191.09,7136.06,7136.06,8211.63,8221.13,8158.22,8158.22,3762028,-19417
2006/11/14,7185.66,7216.64,7168.85,7204.04,8214.92,8250.33,8195.7,8235.93,4924841,217849
2006/11/15,7254.47,7269.01,7229.02,7236.85,8293.59,8310.22,8264.5,8273.45,4947412,266998
2006/11/16,7272.5,7290.25,7240.25,7257.48,8314.2,8334.49,8277.33,8297.03,4723074,242778
2006/11/17,7282.38,7287.91,7251.65,7259.54,8325.49,8331.81,8290.36,8299.38,4360753,96933
2006/11/20,7266.4,7270.28,7228.97,7261.48,8307.22,8311.66,8264.43,8301.6,4156822,-86817
2006/11/21,7258.63,7320.06,7245.42,7309.69,8298.35,8368.58,8283.24,8356.72,4183718,61194
2006/11/22,7330.01,7350.63,7314.36,7348.77,8379.95,8403.53,8362.06,8401.4,4627340,154066
2006/11/23,7371.3,7430.9,7368.01,7384.69,8427.15,8495.29,8423.39,8442.46,5232437,362254
2006/11/24,7394.75,7427.36,7366.08,7427.36,8453.96,8491.24,8421.18,8491.24,4520144,336869
2006/11/27,7494.59,7506.07,7463.88,7498.15,8568.1,8581.22,8532.99,8572.17,5635933,476128
2006/11/28,7447.67,7483.43,7444.94,7444.94,8514.46,8555.34,8511.34,8511.34,5049488,104084
2006/11/29,7476.54,7513.51,7431.87,7474.19,8547.47,8589.73,8496.4,8544.78,5307424,127117
2006/11/30,7527.47,7567.72,7500.24,7567.72,8605.68,8651.7,8574.55,8651.7,5756403,338269
2006/12/1,7587.51,7621.81,7557.62,7613.57,8674.34,8713.55,8640.17,8704.13,6286389,445925
2006/12/4,7622.09,7659.84,7590.92,7647.01,8713.86,8757.02,8678.23,8742.35,6094800,217449
2006/12/5,7700.15,7703.25,7575.14,7609.9,8803.11,8806.65,8660.19,8699.93,6190319,255957
2006/12/6,7634.79,7697.24,7620.98,7693.33,8728.38,8799.78,8712.6,8795.31,4699088,244462
2006/12/7,7697.12,7716.85,7669.22,7686.52,8799.64,8822.19,8767.74,8787.52,5104256,193060
2006/12/8,7658.04,7658.04,7601.3,7636.3,8754.96,8754.96,8690.1,8730.11,4415341,-58688
2006/12/11,7635.69,7635.72,7582.62,7612.12,8729.42,8729.45,8668.74,8702.47,4145310,-94060
2006/12/12,7604.75,7604.75,7441.01,7458.56,8694.05,8694.05,8506.86,8526.92,5060781,-83075
2006/12/13,7480.04,7494.49,7369.09,7450.3,8551.51,8568.03,8424.67,8517.51,4620990,-170211
2006/12/14,7456.31,7492.3,7428.38,7480.41,8524.38,8565.52,8492.45,8551.93,3823218,71194
2006/12/15,7546.81,7568.02,7531.48,7538.82,8627.84,8652.09,8610.32,8618.71,4322618,203528
2006/12/18,7568.82,7648.06,7561.88,7624.62,8653.01,8743.6,8645.07,8716.8,4307962,175762
2006/12/19,7624.75,7648.76,7598.88,7598.88,8716.96,8744.41,8687.38,8687.38,4648727,-18226
2006/12/20,7627.94,7661.94,7614.71,7648.35,8720.6,8759.47,8705.47,8743.93,4883030,113487
2006/12/21,7655.64,7685.88,7614.45,7620.94,8752.27,8786.84,8705.18,8712.6,4747797,-12810
2006/12/22,7636.73,7660.33,7621.48,7652.47,8730.66,8757.64,8713.22,8748.65,3671086,-271
2006/12/25,7658.05,7667.44,7635.16,7646.81,8755.02,8765.76,8728.85,8742.17,3803326,-16981
2006/12/26,7668.92,7749.46,7668.92,7727.59,8767.45,8859.52,8767.45,8834.52,5137624,227825
2006/12/27,7761.09,7790.31,7733.18,7733.18,8872.82,8906.22,8840.91,8840.91,5168415,137451
2006/12/28,7777.86,7782.42,7720.29,7732.93,8892,8897.21,8826.18,8840.63,4611769,34762
2006/12/29,7747.62,7823.72,7747.62,7823.72,8857.43,8944.43,8857.43,8944.43,4948827,214896
2007/1/2,7871.41,7937.26,7843.6,7920.8,8998.95,9074.23,8967.15,9055.41,5738692,260096
2007/1/3,7954.96,7999.42,7917.3,7917.3,9094.46,9145.29,9051.41,9051.41,5974259,193150
2007/1/4,7929.89,7955.9,7901.24,7934.51,9065.81,9095.54,9033.05,9071.09,5747756,12159
2007/1/5,7940.2,7942.23,7821.71,7835.57,9077.59,9079.91,8942.12,8957.97,5202769,-189500
2007/1/8,7778.57,7797.57,7736.11,7736.71,8892.81,8914.53,8844.26,8844.95,4314344,-228144
2007/1/9,7778.38,7827.93,7778.38,7790.01,8892.59,8949.24,8892.59,8905.89,4533381,27570
2007/1/10,7737.25,7748.79,7682.82,7698.52,8845.56,8858.75,8783.33,8801.28,5169859,-334844
2007/1/11,7724.1,7748.96,7599.55,7618.55,8830.54,8858.96,8688.15,8709.87,5751960,-23893
2007/1/12,7713.63,7769.31,7704.39,7761.71,8818.57,8882.23,8808.01,8873.54,4498579,265969
2007/1/15,7809.91,7814.85,7741.49,7783.5,8928.63,8934.28,8850.41,8898.44,3835623,58463
2007/1/16,7792.77,7831.2,7780.65,7792.08,8909.04,8952.97,8895.18,8908.25,3776224,73519
2007/1/17,7757.8,7841.26,7747.58,7833.98,8869.06,8964.47,8857.37,8956.15,4031622,-7387
2007/1/18,7852.26,7896.95,7830.23,7895.18,8977.05,9028.14,8951.87,9026.12,4254803,59297
2007/1/19,7859.47,7892.61,7840.08,7840.08,8985.3,9023.18,8963.13,8963.13,4403382,7102
2007/1/22,7866.17,7871.01,7784.21,7842.47,8992.95,8998.49,8899.25,8965.86,4315687,5371
2007/1/23,7837.44,7869.55,7818.58,7852.36,8960.11,8996.82,8938.55,8977.17,3812467,66060
2007/1/24,7943.24,7949.48,7916.39,7935.54,9081.06,9088.2,9050.37,9072.26,4509612,317845
2007/1/25,7982.64,7990.55,7917.65,7923.77,9126.11,9135.16,9051.81,9058.81,4356804,275902
2007/1/26,7825.75,7883.5,7793.91,7821.32,8946.74,9012.77,8910.34,8941.68,3478188,-192150
2007/1/29,7831.57,7838.92,7746.37,7751.79,8953.4,8961.8,8855.99,8862.19,3155780,-80554
2007/1/30,7763.53,7778.24,7725.41,7739.91,8875.61,8892.43,8832.03,8848.61,3022667,-32355
2007/1/31,7759.79,7778.69,7637.54,7699.64,8871.35,8892.95,8731.58,8802.58,3190881,-89544
2007/2/1,7751.3,7757.63,7679.78,7701.54,8861.64,8868.87,8779.87,8804.75,2716720,85969
2007/2/2,7754.16,7801.63,7751.53,7777.03,8864.9,8919.17,8861.9,8891.05,3146756,268431
2007/2/5,7786.77,7823.94,7772.05,7783.12,8902.17,8944.67,8885.34,8898,2797746,195051
2007/2/6,7816.3,7875.75,7802.94,7875.75,8935.94,9003.91,8920.67,9003.91,3512846,192996
2007/2/7,7894.77,7894.77,7850.06,7850.06,9025.65,9025.65,8974.54,8974.54,3231767,237988
2007/2/8,7875.52,7884.73,7790.63,7842.22,9003.65,9014.18,8906.6,8965.58,2912158,44920
2007/2/9,7847.18,7884.55,7822.53,7859.53,8971.24,9013.96,8943.06,8985.36,3377901,232119
2007/2/12,7826.46,7826.46,7764.51,7776.36,8947.57,8947.57,8876.74,8890.29,2805134,-85082
2007/2/13,7782.07,7800.87,7725.81,7736.83,8896.81,8918.3,8832.49,8845.09,2795282,-36547
2007/2/14,7800.98,7812.18,7764.31,7809.45,8918.43,8931.23,8876.5,8928.11,3090525,104435
2007/2/26,7939.4,7950.2,7899.55,7900.2,9076.68,9089.02,9031.12,9031.86,4183799,253394
2007/2/27,7908.79,7939.5,7881.92,7901.96,9041.69,9076.8,9010.97,9033.88,3985851,94906
2007/3/1,7707.63,7761.4,7663.17,7678.67,8811.71,8873.18,8760.88,8778.6,4251344,-754775
2007/3/2,7653.35,7695.15,7625.99,7670.77,8749.64,8797.43,8718.37,8769.56,3759622,-299294
2007/3/3,7644.18,7670.5,7587.8,7630.15,8739.17,8769.26,8674.71,8723.13,3207629,-295725
2007/3/5,7565.95,7565.95,7306.07,7344.56,8649.73,8649.73,8352.63,8396.63,4558230,-546510
2007/3/6,7379.08,7452.84,7349.98,7451.06,8436.09,8520.41,8402.82,8518.38,3329140,-349692
2007/3/7,7516.21,7519.46,7449.67,7480.89,8592.87,8596.58,8516.8,8552.49,3895464,-246515
2007/3/8,7517.77,7573.87,7510.44,7573.87,8594.65,8658.79,8586.27,8658.79,3598740,-140077
2007/3/9,7615.81,7619.35,7550.83,7568.2,8706.73,8710.78,8632.44,8652.3,3323052,-36410
2007/3/12,7611.15,7640.14,7590.82,7629.15,8701.4,8734.54,8678.16,8721.98,3909346,-876483
2007/3/13,7664.7,7694.59,7661.76,7684,8762.63,8796.8,8759.26,8784.69,3418148,31123
2007/3/14,7552.73,7575.52,7526.48,7570.27,8634.62,8660.67,8604.61,8654.67,3677171,-457757
2007/3/15,7631.67,7708.98,7631.67,7695.96,8724.86,8813.25,8724.86,8798.36,4222077,98864
2007/3/16,7707.15,7743.37,7676.39,7719.8,8811.16,8852.57,8775.99,8825.62,4307013,60352
2007/3/19,7739.56,7759.66,7713.78,7737.46,8848.21,8871.19,8818.74,8845.81,3602808,48954
2007/3/20,7784.27,7798.27,7736.2,7736.2,8899.33,8915.33,8844.37,8844.37,3946497,133047
2007/3/21,7780.3,7784.19,7746.35,7757.03,8894.78,8899.23,8855.97,8868.18,3294070,99192
2007/3/22,7843.64,7856.99,7822.63,7823.67,8967.2,8982.46,8943.18,8944.37,4015992,394883
2007/3/23,7834.62,7879.09,7806.89,7859.32,8956.88,9007.72,8925.18,8985.12,3851950,230946
2007/3/26,7878.59,7887.33,7853.15,7877.82,9007.15,9017.14,8978.07,9006.27,3648054,79924
2007/3/27,7876.76,7928.03,7839.22,7845.17,9005.06,9063.67,8962.14,8968.94,4113591,6841
2007/3/28,7832.62,7841.4,7769.3,7788.14,8954.6,8964.64,8882.21,8903.75,3762567,-181115
2007/3/29,7765.07,7863.63,7764.05,7848.33,8877.37,8990.05,8876.21,8972.56,4146222,-20344
2007/3/30,7877.75,7888.82,7839.91,7884.41,9006.2,9018.85,8962.94,9013.81,4249156,9399
2007/4/2,7888.17,7931.99,7866.59,7884.99,9018.11,9068.2,8993.43,9014.47,4516211,72570
2007/4/3,7894.87,7932.91,7879.88,7932.91,9025.77,9069.26,9008.63,9069.26,4532043,66024
2007/4/4,7989.65,8021.59,7970.46,8004.61,9134.13,9170.64,9112.19,9151.23,5013864,425113
2007/4/9,8048.34,8066.77,8026.33,8056.56,9201.21,9222.28,9176.05,9210.61,4795811,269301
2007/4/10,8064.54,8064.54,8002.49,8048.39,9219.74,9219.74,9148.81,9201.28,4659570,229402
2007/4/11,8073.67,8105.82,8055.67,8084.45,9230.18,9266.93,9209.6,9242.5,4317073,175069
2007/4/12,8043.78,8090.94,8039.13,8075.2,9196.01,9249.92,9190.69,9231.93,4247157,101877
2007/4/13,8100.08,8108.5,7999.69,8002.3,9260.38,9270,9145.61,9148.59,4570130,58723
2007/4/14,8027.42,8045.12,8016.04,8045.12,9177.3,9197.54,9164.29,9197.54,3453220,29010
